10:36:27 PM.768 ( -1 FPS)	Autodetected: Screen
10:36:27 PM.772 ( -1 FPS)	Platform: WindowsPlayer, loaded VR device: Loaded device name: , StereoRenderingMode: MultiPass
10:36:28 PM.312 (  0 FPS)	Initializing Neos: Beta 2020.5.4.1227, Processor Count: 8, Max GC Generation: 0, IsLittleEndian: True, HeadDevice: Screen
10:36:28 PM.312 (  0 FPS)	5.11.0 (Visual Studio built mono)
10:36:28 PM.313 (  0 FPS)	Argument: F:\SteamLibrary\steamapps\common\NeosVR\Neos.exe
10:36:28 PM.325 (  0 FPS)	Compatibility Hash: xY1UOwC3K2o+70FP/vw9dw==
10:36:28 PM.944 (  0 FPS)	FreeImage Version: 3.18.0
10:36:28 PM.944 (  0 FPS)	FreeType Version: 2.10.0
10:36:30 PM.118 (  0 FPS)		Reading settings file
10:36:30 PM.135 (  0 FPS)		Performing version checks and updates, loaded version: 6
10:36:30 PM.136 (  0 FPS)	MachineID: cxwphbzdjeal8wj7hzq_ca
10:36:30 PM.310 (  0 FPS)		Configuring LiteDB database
10:36:30 PM.396 (  0 FPS)	Saving Settings
10:36:30 PM.461 (  0 FPS)	Graphics Device Type: Direct3D11
10:36:30 PM.493 (  0 FPS)	AudioSystem SampleRate: 48000, BufferLength: 1024, NumBuffers: 4
10:36:30 PM.623 (  0 FPS)	Executable: F:\SteamLibrary\steamapps\common\NeosVR\RuntimeData\Neosmon\NeosmonServer.exe
10:36:30 PM.852 (  0 FPS)	Local User SteamID: 76561198084108249
10:36:30 PM.853 (  0 FPS)	SteamAPI initialized
10:36:30 PM.884 (  0 FPS)	Supported network protocols: lnl-nat, lnl, neos-steam
10:36:30 PM.885 (  0 FPS)	FrooxEngine Initialized in 2572.1285 ms
10:36:30 PM.891 (  0 FPS)	Initializing CSCore Audio Input Driver
10:36:30 PM.918 (  0 FPS)	Initialized Audio Input MMDevice CABLE Output (VB-Audio Virtual Cable), ID: {0.0.1.00000000}.{27aa08a5-11b4-4a87-9284-b84ea1380e43}, Format: ChannelsAvailable: 2|SampleRate: 44100|Bps: 264600|BlockAlign: 6|BitsPerSample: 24|Encoding: Extensible|SubFormat: 00000001-0000-0010-8000-00aa00389b71|ChannelMask: SpeakerFrontLeft, SpeakerFrontRight
10:36:30 PM.918 (  0 FPS)	Initialized Audio Input MMDevice Microphone (Virtual Desktop Audio), ID: {0.0.1.00000000}.{3df72788-e632-4225-8dac-a1cbe867f8f3}, Format: ChannelsAvailable: 1|SampleRate: 44100|Bps: 88200|BlockAlign: 2|BitsPerSample: 16|Encoding: Extensible|SubFormat: 00000001-0000-0010-8000-00aa00389b71|ChannelMask: SpeakerFrontCenter
10:36:30 PM.919 (  0 FPS)	Initialized Audio Input MMDevice Microphone (Steam Streaming Microphone), ID: {0.0.1.00000000}.{498e1399-049d-464a-a7e7-971379ec3d9e}, Format: ChannelsAvailable: 1|SampleRate: 44100|Bps: 88200|BlockAlign: 2|BitsPerSample: 16|Encoding: Extensible|SubFormat: 00000001-0000-0010-8000-00aa00389b71|ChannelMask: SpeakerFrontCenter
10:36:30 PM.919 (  0 FPS)	Initialized Audio Input MMDevice VoiceMeeter Output (VB-Audio VoiceMeeter VAIO), ID: {0.0.1.00000000}.{4fcdd9da-b9a9-429e-8f60-5e5fd382751e}, Format: ChannelsAvailable: 2|SampleRate: 44100|Bps: 264600|BlockAlign: 6|BitsPerSample: 24|Encoding: Extensible|SubFormat: 00000001-0000-0010-8000-00aa00389b71|ChannelMask: SpeakerFrontLeft, SpeakerFrontRight
10:36:30 PM.919 (  0 FPS)	Initialized Audio Input MMDevice VoiceMeeter Aux Output (VB-Audio VoiceMeeter AUX VAIO), ID: {0.0.1.00000000}.{8510075a-d1c4-45e5-9925-a7e5cb05d31d}, Format: ChannelsAvailable: 2|SampleRate: 44100|Bps: 264600|BlockAlign: 6|BitsPerSample: 24|Encoding: Extensible|SubFormat: 00000001-0000-0010-8000-00aa00389b71|ChannelMask: SpeakerFrontLeft, SpeakerFrontRight
10:36:30 PM.920 (  0 FPS)	Initialized Audio Input MMDevice Microphone (2- Razer Kiyo), ID: {0.0.1.00000000}.{909d5b2a-85a4-49fb-a679-6b0af3a943a3}, Format: ChannelsAvailable: 2|SampleRate: 16000|Bps: 64000|BlockAlign: 4|BitsPerSample: 16|Encoding: Extensible|SubFormat: 00000001-0000-0010-8000-00aa00389b71|ChannelMask: SpeakerFrontLeft, SpeakerFrontRight
10:36:30 PM.920 (  0 FPS)	Initialized Audio Input MMDevice Microphone (Razer Seiren X), ID: {0.0.1.00000000}.{a073827b-d5fb-4e4a-9dd8-4a8555616689}, Format: ChannelsAvailable: 2|SampleRate: 44100|Bps: 176400|BlockAlign: 4|BitsPerSample: 16|Encoding: Extensible|SubFormat: 00000001-0000-0010-8000-00aa00389b71|ChannelMask: SpeakerFrontLeft, SpeakerFrontRight
10:36:31 PM.379 (  0 FPS)	Starting running world: 
10:36:31 PM.400 (  0 FPS)	Shutdown requested
10:36:31 PM.401 (  0 FPS)	Shutting down
10:36:32 PM.406 (  0 FPS)	Requesting environment shutdown
10:36:32 PM.415 (  0 FPS)	Shutting down environment
10:36:32 PM.442 (  0 FPS)	Saving Settings
